Table;Column;Data Type;Is Nullable;Is Unique;Is Primary Key;Is Foreign Key;Referenced Table.Column;Example 1;Example 2;;;;;;;;;;;;;;;;;;;;;;;;
annexes;salary;varchar;YES;NO;NO;YES;signatures.id;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes;company_tutor_name;varchar;YES;NO;NO;YES;formative_projects.id;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes;company_tutor_email;varchar;YES;NO;NO;YES;job_offers.id;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes;university_tutor_name;varchar;NO;NO;NO;YES;languages.id;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes;university_tutor_email;varchar;YES;NO;NO;YES;annexes.id;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes;university_signature_id;int;NO;NO;NO;YES;students.id;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes;company_signature_id;int;YES;NO;NO;YES;signatures.id;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes;student_signature_id;int;YES;NO;NO;YES;signatures.id;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes;language_id;int;NO;NO;YES;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes;renews_to;int;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes;wont_be_renewed;tinyint;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes;is_manual;tinyint;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes;is_internship_international;tinyint;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes;notes;text;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes;annex_status_id;int;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes;agreement_id;int;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes;student_id;int;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes;job_offer_id;int;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes;company_id;int;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes;admin_user_id;int;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
